timestamp,name,utilization.gpu [%],temperature.gpu,power.draw [W],clocks.sm [MHz],clocks.mem [MHz],pstate
2026-03-15T20:29:19.5526229+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 3, 62, 27.18, 1425, 7001, P0
2026-03-15T20:29:20.6472504+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 3, 62, 27.52, 1425, 7001, P0
2026-03-15T20:29:21.7234242+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 3, 63, 27.17, 1425, 7001, P0
2026-03-15T20:29:22.7971310+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 2, 63, 27.13, 1425, 7001, P0
2026-03-15T20:29:23.8682802+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 3, 62, 27.13, 1425, 7001, P0
2026-03-15T20:29:24.9432582+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 2, 63, 27.15, 1425, 7001, P0
2026-03-15T20:29:26.0201786+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 2, 63, 27.12, 1425, 7001, P0
2026-03-15T20:29:27.0838583+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 3, 63, 27.14, 1425, 7001, P0
2026-03-15T20:29:28.1543243+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 2, 63, 27.81, 1425, 7001, P0
2026-03-15T20:29:29.2267643+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 2, 63, 27.17, 1425, 7001, P0
2026-03-15T20:29:30.2983575+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 2, 63, 27.17, 1425, 7001, P0
2026-03-15T20:29:31.3611501+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 2, 63, 27.17, 1425, 7001, P0
2026-03-15T20:29:32.4353475+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 2, 63, 27.17, 1425, 7001, P0
2026-03-15T20:29:33.5080010+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 3, 63, 27.15, 1425, 7001, P0
2026-03-15T20:29:34.5709196+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 2, 63, 27.17, 1425, 7001, P0
2026-03-15T20:29:35.6334416+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 2, 63, 27.15, 1425, 7001, P0
2026-03-15T20:29:36.6967064+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 3, 63, 27.17, 1425, 7001, P0
2026-03-15T20:29:37.7620940+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 8, 63, 27.24, 1425, 7001, P0
2026-03-15T20:29:38.8367789+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 98, 71, 83.73, 1935, 7001, P0
2026-03-15T20:29:39.9041368+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 23, 68, 59.30, 1942, 7001, P0
2026-03-15T20:29:40.9674468+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 100, 73, 95.13, 1740, 7001, P0
2026-03-15T20:29:42.0390449+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 100, 74, 113.29, 1747, 7001, P0
2026-03-15T20:29:43.1153121+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 100, 75, 114.54, 1830, 7001, P0
2026-03-15T20:29:44.1865919+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 100, 75, 114.47, 1830, 7001, P0
2026-03-15T20:29:45.2590622+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 97, 76, 114.75, 1777, 7001, P0
2026-03-15T20:29:46.3280904+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 100, 76, 114.05, 1815, 7001, P0
2026-03-15T20:29:47.3897853+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 100, 77, 114.72, 1830, 7001, P0
2026-03-15T20:29:48.4603577+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 96, 78, 114.92, 1770, 7001, P0
2026-03-15T20:29:49.5207469+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 100, 78, 114.06, 1807, 7001, P0
2026-03-15T20:29:50.5935735+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 100, 78, 113.89, 1822, 7001, P0
2026-03-15T20:29:51.6622144+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 100, 79, 114.77, 1815, 7001, P0
2026-03-15T20:29:52.7314553+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 97, 79, 114.70, 1785, 7001, P0
2026-03-15T20:29:53.8036698+08:00,NVIDIA GeForce RTX 3060 Laptop GPU, 100, 79, 114.25, 1807, 7001, P0
